Repo,Link,Archived,Creation Date,Topics,#Star,#Watch,#Fork,#Releases,#Contributors,Languages,Size,#Open Issues,#Pull Requests,#Branches,#Tags,#Commits,#Comments,#Downloads,#Deployments,
aws-samples/sagemaker-cross-validation-pipeline,https://github.com/aws-samples/sagemaker-cross-validation-pipeline,FALSE,7/10/2021 0:22,[],8,2,2,0,2,Jupyter Notebook,1056,1,0,1,0,21,0,0,0,
aws-samples/aws-nlp-workshop,https://github.com/aws-samples/aws-nlp-workshop,FALSE,7/15/2018 22:34,[],49,12,37,0,3,Jupyter Notebook,45446,1,1,1,0,71,0,0,0,
4GeeksAcademy/machine-learning-content,https://github.com/4GeeksAcademy/machine-learning-content,FALSE,4/27/2022 20:47,[],5,3,20,0,4,Jupyter Notebook,44715,2,2,1,0,500,0,0,0,
edenduthie/auto-labelling-model-tuning-amazon-sagemaker,https://github.com/edenduthie/auto-labelling-model-tuning-amazon-sagemaker,FALSE,4/23/2019 6:19,[],12,2,8,0,2,Jupyter Notebook,11718,0,0,1,0,24,0,0,0,
RamVegiraju/SageMaker-Deployment,https://github.com/RamVegiraju/SageMaker-Deployment,FALSE,7/18/2021 22:38,[],32,5,17,0,2,Jupyter Notebook,75734,2,0,1,0,181,0,0,0,
wmlba/sagemaker-multi-models_endpoint,https://github.com/wmlba/sagemaker-multi-models_endpoint,FALSE,4/18/2019 23:26,[],5,2,3,0,1,Jupyter Notebook,704,0,0,1,0,17,0,0,0,
SunJackson/SunJackson.github.io,https://github.com/SunJackson/SunJackson.github.io,FALSE,7/23/2018 8:46,"['blog', 'page']",12,1,6,0,2,JavaScript,50116,1,1,1,0,537,0,0,205,
FabG/ml-aws-specialty-lab,https://github.com/FabG/ml-aws-specialty-lab,FALSE,8/17/2020 12:17,[],55,2,35,0,1,Jupyter Notebook,448117,0,0,1,0,69,0,0,0,
johnny-chivers/emrZeroToHero,https://github.com/johnny-chivers/emrZeroToHero,FALSE,4/17/2022 20:25,[],5,1,11,0,1,Jupyter Notebook,395,0,0,1,0,16,0,0,0,
aws-samples/aws-mlflow-sagemaker-cdk,https://github.com/aws-samples/aws-mlflow-sagemaker-cdk,FALSE,10/13/2021 18:25,"['aws', 'cdk', 'fargate', 'mlflow', 'mlflow-tracking', 'nginx', 'sagemaker']",15,2,8,0,6,Jupyter Notebook,26662,1,0,3,0,69,0,0,0,
h2oai/dai-deployment-templates,https://github.com/h2oai/dai-deployment-templates,FALSE,10/4/2018 22:07,"['machine-learning', 'model-deployment', 'model-serving', 'model-server', 'h2oai', 'h2o', 'mojo']",15,67,7,41,23,Java,4931,33,14,117,73,490,0,0,6,
jacopotagliabue/FREE_7773,https://github.com/jacopotagliabue/FREE_7773,FALSE,9/10/2021 23:43,"['nlp', 'mlsys', 'metaflow', 'teaching']",87,6,11,0,2,Jupyter Notebook,24270,0,0,1,0,40,0,0,0,
aws-samples/amazon-sagemaker-amazon-routing-challenge-sol,https://github.com/aws-samples/amazon-sagemaker-amazon-routing-challenge-sol,FALSE,4/26/2022 7:47,"['last-mile-delivery', 'markov-decision-processes', 'markov-model', 'ppm', 'reinforcement-learning', 'sequence-models', 'sagemaker-processing', 'dynamic-programming']",15,6,2,0,2,Python,2100,0,0,1,0,34,0,0,0,
aws-samples/amazon-sagemaker-local-mode,https://github.com/aws-samples/amazon-sagemaker-local-mode,FALSE,11/5/2020 11:00,"['sagemaker', 'amazon-sagemaker', 'pytorch', 'catboost', 'lightgbm', 'pycharm', 'tensorflow-training', 'pytorch-training', 'sagemaker-processing', 'prophet', 'scikit-learn', 'prophet-model', 'hdbscan-clustering-algorithm', 'huggingface', 'huggingface-transformers', 'machine-learning', 'delta-lake', 'gensim-word2vec', 'dask', 'tensorflow']",145,5,31,0,5,Python,4117,5,0,1,0,271,0,0,0,
pedrojpaez/techfest-workshop,https://github.com/pedrojpaez/techfest-workshop,FALSE,4/2/2019 16:13,[],8,2,8,0,1,Jupyter Notebook,28222,0,0,1,0,13,0,0,0,
aws-samples/amazon-sagemaker-data-wrangler-hospital-readmission-prediction,https://github.com/aws-samples/amazon-sagemaker-data-wrangler-hospital-readmission-prediction,FALSE,6/21/2021 16:28,"['amazon-web-services', 'sagemaker-studio', 'machine-learning', 'heathcare', 'sagemaker']",6,19,7,0,3,Jupyter Notebook,26053,0,0,1,0,11,0,0,0,
vfcarida/AWS-UGSP-ML-Zero-to-Hero,https://github.com/vfcarida/AWS-UGSP-ML-Zero-to-Hero,FALSE,4/26/2021 0:17,[],12,1,7,0,1,Jupyter Notebook,78594,0,0,1,0,19,0,0,0,
EshikaShah/Deep-Learning---Udacity,https://github.com/EshikaShah/Deep-Learning---Udacity,FALSE,6/26/2020 12:56,"['deep-learning', 'neural-network', 'cnn', 'rnn', 'gan', 'deployment']",18,1,1,0,2,Jupyter Notebook,89851,1,1,2,0,10,0,0,0,
aws-samples/amazon-sagemaker-studio-secure-data-science-workshop,https://github.com/aws-samples/amazon-sagemaker-studio-secure-data-science-workshop,FALSE,8/16/2021 13:42,[],13,6,7,6,2,Jupyter Notebook,592,3,1,2,6,10,0,0,0,
aws/sagemaker-tensorflow-serving-container,https://github.com/aws/sagemaker-tensorflow-serving-container,FALSE,11/12/2018 22:39,[],155,36,100,63,24,Python,4979,28,3,2,63,247,5,0,0,
aws-samples/amazon-mwaa-examples,https://github.com/aws-samples/amazon-mwaa-examples,FALSE,3/1/2021 22:29,[],40,4,28,0,7,Python,4343,7,5,1,0,77,0,0,0,
comet-ml/comet-sagemaker,https://github.com/comet-ml/comet-sagemaker,FALSE,9/4/2018 15:27,[],8,6,2,0,3,Python,40,0,0,1,0,25,0,0,0,
Napkin-DL/sm-informer-mlops-quicksight,https://github.com/Napkin-DL/sm-informer-mlops-quicksight,FALSE,10/1/2021 4:07,[],9,2,5,0,2,Python,8111,1,0,1,0,45,0,0,0,
aws-samples/aws-cdk-healthlake-knowledge-analyzer,https://github.com/aws-samples/aws-cdk-healthlake-knowledge-analyzer,FALSE,4/16/2021 17:00,[],5,1,6,0,4,Python,58666,6,5,7,0,30,0,0,0,
prameshbajra/prameshbajra.github.io,https://github.com/prameshbajra/prameshbajra.github.io,FALSE,2/18/2018 14:47,[],5,1,0,0,14,CSS,14071,0,0,2,0,632,0,0,78,
aws-samples/amazon-sagemaker-build-train-deploy,https://github.com/aws-samples/amazon-sagemaker-build-train-deploy,FALSE,8/21/2020 15:18,[],83,5,24,0,3,Jupyter Notebook,14346,1,1,1,0,26,0,0,0,
tchaton/sagemaker-pytorch-boilerplate,https://github.com/tchaton/sagemaker-pytorch-boilerplate,FALSE,8/15/2020 20:58,[],8,2,0,0,1,Jupyter Notebook,500,0,0,1,0,54,0,0,0,
udacity/ML_SageMaker_Studies,https://github.com/udacity/ML_SageMaker_Studies,FALSE,3/6/2019 3:27,"['sagemaker-deployment', 'pytorch', 'time-series']",346,18,428,0,8,Jupyter Notebook,3708,0,0,1,0,56,0,0,0,
localstack/localstack-pro-samples,https://github.com/localstack/localstack-pro-samples,FALSE,7/4/2018 6:21,"['aws', 'hacktoberfest', 'infrastructure-as-code', 'localstack', 'samples']",100,11,40,0,16,Makefile,4823,8,8,11,0,227,0,0,0,
learn-mikegchambers-com/aws-mls-c01,https://github.com/learn-mikegchambers-com/aws-mls-c01,FALSE,6/24/2020 4:45,[],15,7,19,0,1,Jupyter Notebook,39179,0,0,1,0,27,0,0,0,
aws-samples/sagemaker-run-notebook,https://github.com/aws-samples/sagemaker-run-notebook,FALSE,6/11/2020 22:06,"['jupyter', 'jupyterlab', 'jupyterlab-extension', 'aws', 'sagemaker', 'cloudformation']",114,5,57,9,5,Python,1400,17,2,1,10,102,0,0,0,
UKPLab/adaptable-adapters,https://github.com/UKPLab/adaptable-adapters,FALSE,5/2/2022 16:51,[],10,4,1,0,3,Python,9166,0,0,1,0,10,0,0,0,
vdabravolski/mmdetection-sagemaker,https://github.com/vdabravolski/mmdetection-sagemaker,FALSE,7/22/2020 13:32,"['computer-vision', 'aws', 'sagemaker', 'pytorch', 'tutorial']",12,2,7,0,1,Jupyter Notebook,3294,0,0,1,0,10,0,0,0,
aws-samples/reinvent2018-srv404-lambda-sagemaker,https://github.com/aws-samples/reinvent2018-srv404-lambda-sagemaker,FALSE,11/27/2018 19:56,[],14,2,21,0,1,Jupyter Notebook,7207,0,0,1,0,7,0,0,0,
reallyinvincible/Heart-Disease-Prediction,https://github.com/reallyinvincible/Heart-Disease-Prediction,FALSE,1/10/2020 16:15,[],12,2,15,0,1,Jupyter Notebook,446,0,0,1,0,10,0,0,0,
gonsoomoon-ml/Self-Study-On-SageMaker,https://github.com/gonsoomoon-ml/Self-Study-On-SageMaker,FALSE,1/19/2021 9:47,[],30,2,15,0,1,,39352,0,0,1,0,101,0,0,0,
gbalaji0/fdiworkshop,https://github.com/gbalaji0/fdiworkshop,FALSE,1/8/2020 19:15,[],24,5,14,0,1,Jupyter Notebook,13414,0,0,1,0,22,0,0,0,
markproy/sagemaker-workshop,https://github.com/markproy/sagemaker-workshop,FALSE,4/12/2019 19:48,[],13,0,14,0,1,Jupyter Notebook,62940,1,1,2,0,193,0,0,0,
aws-samples/amazon-sagemaker-mxnet-dice-aim403-workshop-reinvent2019,https://github.com/aws-samples/amazon-sagemaker-mxnet-dice-aim403-workshop-reinvent2019,FALSE,12/2/2019 18:48,[],16,4,7,0,2,Jupyter Notebook,19067,0,0,1,0,15,0,0,0,
aws-samples/aws-greengrass-ml-deployment-sample,https://github.com/aws-samples/aws-greengrass-ml-deployment-sample,FALSE,9/14/2020 17:47,[],6,3,2,0,2,Jupyter Notebook,2141,1,0,1,0,43,0,0,0,
werowe/MLexamples,https://github.com/werowe/MLexamples,FALSE,3/28/2018 14:28,[],6,3,15,0,1,Jupyter Notebook,26,0,0,1,0,4,0,0,0,
shirkeyaws/sagemaker-recommender-workshop,https://github.com/shirkeyaws/sagemaker-recommender-workshop,FALSE,5/5/2018 7:03,[],16,2,10,0,1,Jupyter Notebook,39637,0,0,1,0,20,0,0,0,
aws-samples/amazon-sagemaker-mlflow-fargate,https://github.com/aws-samples/amazon-sagemaker-mlflow-fargate,FALSE,12/3/2020 11:44,[],94,23,47,0,4,Jupyter Notebook,899,1,0,1,0,23,0,0,0,
skrinak/SageMaker101,https://github.com/skrinak/SageMaker101,FALSE,1/16/2018 9:20,[],27,6,15,0,1,Jupyter Notebook,501,1,0,1,0,5,0,0,0,
lupesko/sentiment-analysis-with-sagemaker-mxnet,https://github.com/lupesko/sentiment-analysis-with-sagemaker-mxnet,FALSE,6/15/2018 7:21,"['sagemaker', 'mxnet', 'gluon', 'sentiment-analysis']",5,3,5,0,1,Python,53,0,0,1,0,9,0,0,0,
youngmki/sagemaker-pipelines,https://github.com/youngmki/sagemaker-pipelines,FALSE,4/30/2021 12:47,"['sagemaker', 'bokeh', 'fraud-detection', 'xgboost', 'sagemaker-pipelines']",5,1,1,0,1,Jupyter Notebook,27008,1,1,1,0,45,0,0,0,
aws-samples/amazon-sagemaker-nlu-search,https://github.com/aws-samples/amazon-sagemaker-nlu-search,FALSE,5/27/2020 17:22,[],15,4,12,0,6,Jupyter Notebook,1416,3,0,1,0,42,1,0,0,
pmhargis-aws/AWS_ML_WorkshopLabs,https://github.com/pmhargis-aws/AWS_ML_WorkshopLabs,FALSE,8/18/2020 14:09,[],5,4,4,0,2,Jupyter Notebook,22599,0,0,2,0,21,0,0,0,
packetrat/arsheadlines,https://github.com/packetrat/arsheadlines,FALSE,7/20/2021 14:15,[],5,3,1,0,1,Jupyter Notebook,3540,0,0,1,0,8,0,0,0,
aws/aws-cdk-go,https://github.com/aws/aws-cdk-go,FALSE,1/22/2021 18:48,"['aws', 'aws-cdk', 'go', 'infrastructure-as-code']",120,13,15,0,2,Go,11027749,0,0,1,2282,192,0,0,0,
aws-samples/aws-security-workshops,https://github.com/aws-samples/aws-security-workshops,FALSE,5/7/2018 16:35,"['aws', 'security', 'workshop', 'threat-detection', 'identity', 'aws-iam', 'amazon-guardduty', 'lambda', 'amazon-cognito', 'aws-security', 'aws-security-hub', 'cloudwatch-events', 'detect', 'protect', 'respond', 'inspector']",382,42,168,0,11,Jupyter Notebook,85308,2,2,3,0,457,0,0,133,
utterworks/fast-bert,https://github.com/utterworks/fast-bert,FALSE,4/18/2019 22:01,"['bert', 'fast-bert', 'fastai', 'transformers']",1764,40,336,5,27,Python,2163,158,4,4,5,326,1,0,0,
aws-samples/amazon-textract-transformer-pipeline,https://github.com/aws-samples/amazon-textract-transformer-pipeline,FALSE,9/14/2021 16:16,"['amazon-textract', 'huggingface-transformers', 'document-analysis', 'ocr']",39,20,13,0,3,Python,4165,6,2,13,0,87,0,0,0,
mg-um/mastering-ml-on-aws,https://github.com/mg-um/mastering-ml-on-aws,FALSE,12/5/2018 1:51,[],8,1,14,0,3,Jupyter Notebook,1962,1,0,1,0,42,0,0,0,
aws-samples/finetune-deploy-bert-with-amazon-sagemaker-for-hugging-face,https://github.com/aws-samples/finetune-deploy-bert-with-amazon-sagemaker-for-hugging-face,FALSE,8/9/2021 19:26,[],13,2,13,0,4,Jupyter Notebook,581,1,1,1,0,17,0,0,0,
randyridgley/cdk-snippets,https://github.com/randyridgley/cdk-snippets,FALSE,5/4/2020 17:25,[],13,1,2,0,2,TypeScript,7177,36,36,37,0,152,0,0,0,
TomasBeuzen/machine-learning-tutorials,https://github.com/TomasBeuzen/machine-learning-tutorials,FALSE,5/4/2020 23:20,[],21,1,9,0,2,Jupyter Notebook,44085,17,17,18,0,36,0,0,0,
mklissa/sagemaker_tutorial,https://github.com/mklissa/sagemaker_tutorial,FALSE,6/15/2018 22:55,[],9,1,3,0,2,Jupyter Notebook,79,0,0,1,0,32,0,0,0,
aws-samples/sagemaker-workshop,https://github.com/aws-samples/sagemaker-workshop,FALSE,3/4/2020 22:37,[],12,18,12,0,9,CSS,17570,3,2,1,0,119,0,0,0,
aws-samples/amazon-sagemaker-predict-training-resource-usage,https://github.com/aws-samples/amazon-sagemaker-predict-training-resource-usage,FALSE,3/24/2022 22:23,[],7,5,3,0,2,Python,935,0,0,1,0,25,0,0,0,
aws/sagemaker-inference-toolkit,https://github.com/aws/sagemaker-inference-toolkit,FALSE,5/20/2019 23:11,"['aws', 'sagemaker', 'inference', 'docker', 'python', 'machine-learning', 'deep-learning']",229,37,68,41,19,Python,661,32,5,4,41,136,0,0,0,
PacktPublishing/Automated-Machine-Learning-on-AWS,https://github.com/PacktPublishing/Automated-Machine-Learning-on-AWS,FALSE,6/3/2021 6:29,[],27,4,17,0,5,Python,5595,0,0,1,0,108,0,0,0,
aws-samples/aws-bev-bms-battery-consistency-bias-alarm-prediction,https://github.com/aws-samples/aws-bev-bms-battery-consistency-bias-alarm-prediction,FALSE,12/15/2020 3:52,[],16,19,8,0,1,TypeScript,1612,0,0,1,0,6,0,0,0,
MrRobot2211/deep-photo-enhance-t2,https://github.com/MrRobot2211/deep-photo-enhance-t2,FALSE,3/21/2020 20:12,[],29,3,5,0,1,Python,33865,2,0,1,0,20,0,0,0,
huggingface/hub-docs,https://github.com/huggingface/hub-docs,FALSE,3/16/2022 13:26,['hacktoberfest'],63,27,75,0,75,Svelte,13297,146,31,20,0,413,3,0,0,
awslabs/amazon-timestream-tools,https://github.com/awslabs/amazon-timestream-tools,FALSE,9/22/2020 17:58,[],173,22,133,0,26,Java,7862,8,0,4,0,180,0,0,0,
JasonMA606/Project_Plagiarism_Detection,https://github.com/JasonMA606/Project_Plagiarism_Detection,FALSE,8/16/2020 4:31,[],9,16,0,0,1,Jupyter Notebook,558,0,0,1,0,6,0,0,0,
awslabs/service-workbench-on-aws-cn,https://github.com/awslabs/service-workbench-on-aws-cn,FALSE,4/29/2022 3:51,"['aws', 'service-workbench']",6,10,5,0,38,JavaScript,197717,8,2,9,46,774,0,0,23,
aws/amazon-sagemaker-operator-for-k8s,https://github.com/aws/amazon-sagemaker-operator-for-k8s,FALSE,11/15/2019 0:53,"['aws', 'sagemaker', 'kubernetes-operator', 'kubebuilder', 'golang']",144,8,48,6,13,Go,20617,9,3,31,6,157,1,0,0,
awslabs/sagemaker-battlesnake-ai,https://github.com/awslabs/sagemaker-battlesnake-ai,FALSE,2/24/2020 0:59,[],76,12,48,0,16,Python,118845,3,1,6,2,437,0,0,0,
awslabs/realtime-fraud-detection-with-gnn-on-dgl,https://github.com/awslabs/realtime-fraud-detection-with-gnn-on-dgl,FALSE,3/11/2021 5:05,"['aws-cdk', 'gnn', 'dgl', 'fraud-detection', 'aws', 'sagemaker', 'neptune', 'graph-database', 'documentdb', 'appsync', 'amplify-js']",122,15,25,8,10,TypeScript,10500,6,6,15,11,208,0,0,124,
alpha2phi/python-apps,https://github.com/alpha2phi/python-apps,FALSE,12/1/2020 15:25,[],22,3,21,0,1,Python,267110,4,0,1,0,191,0,0,0,
aws-samples/amazon-sagemaker-tensorflow-object-detection-api,https://github.com/aws-samples/amazon-sagemaker-tensorflow-object-detection-api,FALSE,11/27/2020 12:19,[],38,2,29,0,6,Python,1894,1,0,1,0,34,0,0,0,
PacktPublishing/Natural-Language-Processing-with-AWS-AI-Services,https://github.com/PacktPublishing/Natural-Language-Processing-with-AWS-AI-Services,FALSE,3/10/2021 13:47,[],29,5,14,0,6,Jupyter Notebook,59107,0,0,1,0,159,0,0,0,
daniel-fudge/DRL-Portfolio-Optimization-Custom,https://github.com/daniel-fudge/DRL-Portfolio-Optimization-Custom,FALSE,6/12/2020 22:27,[],7,1,4,3,1,Jupyter Notebook,35064,3,0,2,3,67,0,0,0,
abhijitramesh/deploying_ml_models,https://github.com/abhijitramesh/deploying_ml_models,FALSE,7/25/2020 12:11,[],7,1,1,0,1,Jupyter Notebook,6313,0,0,1,0,23,0,0,0,
aws-samples/annotate-medical-images-in-dicom-server-and-build-ml-models-on-amazon-sagemaker,https://github.com/aws-samples/annotate-medical-images-in-dicom-server-and-build-ml-models-on-amazon-sagemaker,FALSE,11/19/2020 23:16,[],18,8,16,0,5,Jupyter Notebook,41391,5,1,1,0,54,0,0,0,
daekeun-ml/tensorflow-in-sagemaker-workshop,https://github.com/daekeun-ml/tensorflow-in-sagemaker-workshop,FALSE,11/7/2019 0:04,[],12,1,7,0,2,Jupyter Notebook,620,0,0,1,0,11,0,0,0,
aws-samples/mask-rcnn-tensorflow,https://github.com/aws-samples/mask-rcnn-tensorflow,FALSE,7/25/2019 20:48,[],34,10,26,1,4,Jupyter Notebook,46948,2,0,4,1,185,1,0,0,
aws-samples/enterprise-search-with-amazon-kendra-workshop,https://github.com/aws-samples/enterprise-search-with-amazon-kendra-workshop,FALSE,7/2/2020 0:04,[],10,2,21,0,2,HTML,10534,1,0,1,0,39,0,0,0,
AI-Rank/AI-Rank,https://github.com/AI-Rank/AI-Rank,FALSE,12/1/2020 8:55,[],8,1,9,0,10,Python,310504,7,7,1,0,48,0,0,0,
awslabs/aws-orbit-workbench,https://github.com/awslabs/aws-orbit-workbench,FALSE,10/8/2020 18:49,"['kubernetes', 'eks', 'jupyter', 'jupyterhub', 'data-analysis', 'datalake', 'mach', 'orbit-workbench', 'gpu', 'eks-cluster', 'aws', 'dataengineering', 'redshift', 'analytics', 'workbench']",118,13,23,24,11,Python,56285,40,1,35,27,861,0,0,110,
aws-samples/sagemaker-end-to-end-workshop,https://github.com/aws-samples/sagemaker-end-to-end-workshop,FALSE,8/30/2021 15:07,"['sagemaker', 'machine-learning', 'aws', 'immersion-day', 'workshops', 'amazon-sagemaker', 'amazon-sagemaker-studio']",16,1,6,0,3,Jupyter Notebook,63922,0,0,1,0,8,0,0,0,
awslabs/sagemaker-privacy-for-nlp,https://github.com/awslabs/sagemaker-privacy-for-nlp,FALSE,7/2/2020 23:31,"['privacy', 'natural-language-processing', 'differential-privacy', 'pytorch', 'sentiment-classification']",12,10,6,0,5,Jupyter Notebook,517,0,0,2,0,11,0,0,0,
ohbuchim/sample-codes-for-aiml,https://github.com/ohbuchim/sample-codes-for-aiml,FALSE,3/3/2021 2:49,[],7,1,3,0,1,Jupyter Notebook,6241,0,0,1,0,161,0,0,0,
aws-samples/amazon-sagemaker-rapids-ai-examples,https://github.com/aws-samples/amazon-sagemaker-rapids-ai-examples,FALSE,6/29/2020 13:27,[],6,22,1,0,2,Jupyter Notebook,37,0,0,1,0,5,0,0,0,
neo4j-partners/hands-on-lab-neo4j-and-sagemaker,https://github.com/neo4j-partners/hands-on-lab-neo4j-and-sagemaker,FALSE,2/25/2022 0:17,"['aws', 'data-analytics', 'data-science', 'datascience', 'machine-learning', 'neo4j', 'sagemaker']",6,0,2,0,1,Jupyter Notebook,280242,2,0,1,0,128,0,0,0,
lpatruno/ml-deployment-strategies,https://github.com/lpatruno/ml-deployment-strategies,FALSE,7/4/2020 14:36,[],6,2,2,0,1,Jupyter Notebook,1761,0,0,1,0,21,0,0,0,
cloudmesh-community/book,https://github.com/cloudmesh-community/book,FALSE,5/30/2018 11:14,[],22,11,106,0,70,Rich Text Format,1673417,73,0,3,1,4327,3,0,589,
aws-samples/sagemaker-studio-docker-cli-extension,https://github.com/aws-samples/sagemaker-studio-docker-cli-extension,FALSE,9/21/2022 10:39,"['docker', 'docker-compose', 'local-mode', 'sagemaker-studio', 'jupyter-notebook']",5,1,0,1,2,Python,60,0,0,1,2,30,0,0,0,
CuongNN218/zalo_ltr_2021,https://github.com/CuongNN218/zalo_ltr_2021,FALSE,12/11/2021 1:15,[],126,2,44,0,2,Python,10720,1,0,2,0,24,0,0,0,
aboavent/ai-ml-bb-2021,https://github.com/aboavent/ai-ml-bb-2021,FALSE,10/29/2021 18:11,[],7,3,1,0,3,Jupyter Notebook,95984,1,0,1,0,133,0,0,0,
aws-samples/aws-healthcare-lifescience-ai-ml-sample-notebooks,https://github.com/aws-samples/aws-healthcare-lifescience-ai-ml-sample-notebooks,FALSE,12/20/2021 14:31,[],35,5,19,0,10,Jupyter Notebook,19223,0,0,3,0,147,0,0,4,
aws-samples/aiot-e2e-sagemaker-greengrass-v2-nvidia-jetson,https://github.com/aws-samples/aiot-e2e-sagemaker-greengrass-v2-nvidia-jetson,FALSE,8/30/2021 23:59,[],10,8,2,0,3,Python,132815,2,2,3,0,22,0,0,0,
IBM/watson-openscale-samples,https://github.com/IBM/watson-openscale-samples,FALSE,10/21/2020 21:34,[],17,5,39,0,13,Jupyter Notebook,36184,3,3,7,0,150,0,0,0,
robinyUArizona/Time-Series--Projects,https://github.com/robinyUArizona/Time-Series--Projects,FALSE,5/13/2020 6:58,[],7,1,6,0,1,Jupyter Notebook,27183,0,0,1,0,96,0,0,0,
aws/sagemaker-tensorflow-extensions,https://github.com/aws/sagemaker-tensorflow-extensions,FALSE,5/9/2018 0:03,[],48,40,36,52,15,C,379,22,11,10,52,170,0,0,0,
kedro-org/kedro,https://github.com/kedro-org/kedro,FALSE,4/18/2019 10:29,"['pipeline', 'kedro', 'hacktoberfest', 'mlops', 'experiment-tracking', 'python', 'machine-learning']",7738,103,723,33,155,Python,155450,193,24,33,33,2061,13,0,2,
aws-samples/amazon-sagemaker-autopilot-feature-engineering-transformer-and-model-explainability,https://github.com/aws-samples/amazon-sagemaker-autopilot-feature-engineering-transformer-and-model-explainability,FALSE,8/19/2020 0:56,"['sagemaker', 'automl', 'explainable-ml']",5,6,6,0,2,Jupyter Notebook,717,0,0,1,0,8,0,0,0,
aws-samples/detecting-data-drift-in-nlp-using-amazon-sagemaker-custom-model-monitor,https://github.com/aws-samples/detecting-data-drift-in-nlp-using-amazon-sagemaker-custom-model-monitor,FALSE,8/18/2021 21:17,[],11,1,5,0,3,Jupyter Notebook,787,2,0,1,0,14,0,0,0,
aws-samples/sagemaker-a2d2-segmentation-pytorch,https://github.com/aws-samples/sagemaker-a2d2-segmentation-pytorch,FALSE,12/7/2021 17:21,[],10,20,2,0,2,Jupyter Notebook,25,0,0,1,0,9,0,0,0,
hyunjoonbok/amazon-sagemaker,https://github.com/hyunjoonbok/amazon-sagemaker,FALSE,6/16/2020 6:06,[],7,1,6,0,1,Jupyter Notebook,78101,1,1,3,0,76,0,0,0,
aws-samples/amazon-sagemaker-keras-text-classification,https://github.com/aws-samples/amazon-sagemaker-keras-text-classification,FALSE,4/18/2018 20:08,[],108,29,122,0,5,Jupyter Notebook,2039,6,1,1,0,57,0,0,0,
whiteboxml/teaching-ml-in-production,https://github.com/whiteboxml/teaching-ml-in-production,FALSE,9/20/2019 15:26,[],52,3,17,0,3,Jupyter Notebook,982,19,18,20,0,32,0,0,0,
jodion/workshop-sagemaker,https://github.com/jodion/workshop-sagemaker,FALSE,2/9/2020 4:15,[],7,2,2,0,1,HTML,6337,0,0,1,0,12,0,0,0,
aws-samples/incremental-training-mlops,https://github.com/aws-samples/incremental-training-mlops,FALSE,6/18/2021 1:14,[],26,2,8,0,2,Jupyter Notebook,2818,9,8,8,0,24,0,0,0,
Nixtla/nixtla,https://github.com/Nixtla/nixtla,FALSE,9/23/2021 15:48,"['time-series', 'time-series-forecasting', 'machine-learning', 'software-as-a-service', 'aws']",343,8,23,0,5,Python,71089,8,3,10,0,279,0,0,0,
awslabs/predictive-segmentation-using-amazon-pinpoint-and-amazon-sagemaker,https://github.com/awslabs/predictive-segmentation-using-amazon-pinpoint-and-amazon-sagemaker,FALSE,11/15/2019 21:13,"['amazon-sagemaker', 'amazon-pinpoint', 'amazon-s3-bucket']",16,2,8,1,1,JavaScript,371,0,0,1,1,4,0,0,0,
aws-samples/deep-learning-web-app,https://github.com/aws-samples/deep-learning-web-app,FALSE,3/24/2021 20:10,[],8,3,6,0,4,Jupyter Notebook,3796,7,7,17,0,71,0,0,0,
marshmellow77/text-summarisation-project,https://github.com/marshmellow77/text-summarisation-project,FALSE,11/30/2021 11:37,[],12,2,11,0,1,Jupyter Notebook,7017,0,0,1,0,32,0,0,0,
michaelhoarau/smarter-anomaly-detection,https://github.com/michaelhoarau/smarter-anomaly-detection,FALSE,4/1/2022 6:01,[],10,2,1,0,1,Jupyter Notebook,5297,0,0,1,0,5,0,0,0,
aws/aws-glue-databrew-jupyter-extension,https://github.com/aws/aws-glue-databrew-jupyter-extension,FALSE,10/27/2020 0:27,[],22,8,16,4,6,TypeScript,1906,2,0,1,6,78,0,0,0,
elangovana/recommendation-demo,https://github.com/elangovana/recommendation-demo,FALSE,6/15/2018 2:59,[],9,3,5,0,1,Python,678,1,1,2,0,270,0,0,0,
mahendrabairagi/DeeplensWorkshop,https://github.com/mahendrabairagi/DeeplensWorkshop,FALSE,6/12/2018 20:12,[],78,11,67,0,2,Python,30661,4,0,1,0,254,0,0,0,
aws-samples/amazon-sagemaker-architecting-for-ml-hcls,https://github.com/aws-samples/amazon-sagemaker-architecting-for-ml-hcls,FALSE,10/27/2020 19:23,[],13,22,17,0,1,Jupyter Notebook,3961,1,1,2,0,9,0,0,0,
aws-samples/end-2-end-3d-ml,https://github.com/aws-samples/end-2-end-3d-ml,FALSE,11/23/2021 19:19,"['sagemaker', 'distributed-training', 'sagemaker-ground-truth']",7,0,2,0,1,Jupyter Notebook,21879,0,0,1,0,34,0,0,0,
zcor/uw_fintech_21,https://github.com/zcor/uw_fintech_21,FALSE,8/19/2021 3:56,[],5,2,4,0,4,Jupyter Notebook,61937,0,0,1,0,53,0,0,0,
daekeun-ml/blazingtext-workshop-korean,https://github.com/daekeun-ml/blazingtext-workshop-korean,FALSE,11/6/2019 8:13,[],5,2,5,0,1,Jupyter Notebook,12396,0,0,1,0,13,0,0,0,
amitai1992/AutomatedLipReading,https://github.com/amitai1992/AutomatedLipReading,FALSE,1/20/2020 8:12,[],7,2,2,0,3,Python,15888,2,0,1,0,60,0,0,0,
